ID,AGE,EDUC,Gender,EARN,Job class
123,39,6,1,18,7
135,44,4,1,34,7
140,32,5,2,44,7
170,63,3,2,51,7
183,36,2,2,200,7
199,51,4,2,207,5
261,25,3,2,230,5
267,25,5,2,258,5
331,26,3,2,264,5
338,50,6,2,300,5
363,25,3,2,349,7
384,38,3,1,408,5
386,53,6,1,502,7
402,43,4,2,552,6
409,36,5,2,626,6
421,57,5,2,685,6
422,42,4,2,720,6
430,28,3,2,800,5
475,30,6,2,890,6
519,32,3,2,1000,5
534,52,4,1,1000,7
552,53,3,2,1000,6
553,30,4,2,1001,5
594,29,4,2,1006,5
657,29,4,2,1168,6
680,36,3,1,1200,5
697,34,3,2,1200,6
708,47,3,2,1241,5
733,27,5,2,1328,6
746,43,6,2,1500,5
791,50,5,2,1602,5
821,33,3,2,1783,7
829,41,3,2,1790,7
868,51,4,2,1798,7
902,47,5,2,1800,5
918,37,5,2,1800,5
933,27,3,2,1800,5
957,25,4,2,1860,5
992,37,2,2,1900,5
1021,30,4,1,1920,5
1043,36,1,1,2000,7
1088,26,3,1,2000,5
1093,33,3,2,2000,5
1107,25,2,1,2000,5
1136,28,2,2,2000,5
1161,43,3,2,2000,6
1177,53,3,2,2000,7
1220,57,5,2,2100,5
1240,25,5,2,2132,5
1246,35,4,1,2150,5
1252,51,4,2,2153,5
1257,32,2,1,2200,5
1262,40,2,1,2200,7
1269,35,5,2,2202,5
1292,52,2,2,2400,5
1323,29,1,2,2400,5
1333,43,1,2,2500,5
1356,37,5,2,2500,6
1365,50,4,2,2500,5
1406,38,2,2,2503,5
1412,34,3,2,2504,5
1450,36,1,2,2744,5
1451,56,5,2,2839,5
1500,58,3,2,2870,7
1529,39,4,2,2900,6
1545,30,4,2,2937,6
1559,38,4,2,2953,5
1597,31,2,1,3000,5
1616,56,3,2,3000,7
1623,30,4,2,3000,5
1629,39,3,2,3000,5
1646,39,3,2,3000,5
1688,43,3,1,3000,5
1716,25,5,1,3000,6
1769,37,6,2,3000,5
1777,30,3,2,3000,7
1793,37,3,1,3000,7
1801,41,4,2,3000,6
1802,33,3,2,3000,5
1882,26,2,1,3000,5
1889,40,3,2,3000,6
1890,34,3,2,3005,5
1891,45,4,2,3014,5
1930,26,3,2,3020,5
1939,36,1,1,3042,5
1948,45,4,2,3046,7
1962,57,5,2,3050,7
1969,48,5,2,3120,5
1991,47,3,2,3144,5
1994,54,3,2,3174,7
2005,47,5,2,3200,5
2006,36,3,2,3200,5
2021,35,2,2,3241,5
2031,29,4,2,3293,7
2045,32,3,2,3309,6
2055,28,4,1,3310,7
2086,25,3,2,3500,5
2094,49,4,2,3500,5
2104,37,3,1,3500,5
2119,30,3,2,3600,5
2126,46,3,2,3626,5
2132,36,2,1,3680,5
2133,50,2,1,3700,5
2135,37,5,2,3802,6
2157,52,3,2,3808,5
2174,52,3,2,3900,5
2194,42,4,2,3922,5
2197,43,4,1,4000,5
2207,51,1,2,4000,5
2234,38,3,2,4000,5
2260,37,3,2,4000,6
2270,35,2,2,4000,5
2280,47,1,2,4000,5
2297,54,2,2,4000,5
2298,36,3,2,4000,7
2299,35,4,1,4000,5
2317,51,1,2,4022,5
2318,47,3,2,4046,5
2348,25,4,2,4050,5
2375,38,1,1,4060,5
2376,40,4,2,4200,5
2414,26,3,2,4200,7
2438,48,2,2,4260,5
2458,43,2,1,4316,5
2482,27,3,1,4320,5
2490,40,3,1,4500,5
2493,46,3,1,4500,5
2529,51,1,1,4508,7
2536,28,2,2,4555,5
2554,46,3,2,4600,5
2556,53,1,2,4647,6
2586,25,4,2,4660,5
2588,45,3,2,4670,7
2625,41,4,1,4692,5
2650,43,2,1,4764,7
2654,63,2,1,4788,5
2659,42,3,1,4800,5
2666,44,3,1,4800,5
2698,25,5,1,4800,5
2700,40,4,2,4804,5
2701,28,2,1,4900,5
2702,37,3,2,4900,6
2703,52,4,2,4974,6
2720,27,4,2,5000,5
2725,32,3,1,5000,5
2774,31,3,2,5000,5
2801,54,2,2,5000,5
2806,51,4,2,5000,5
2808,34,4,2,5000,7
2816,56,6,2,5000,5
2851,26,5,1,5000,5
2869,30,3,1,5000,5
2875,43,2,2,5000,5
2877,28,5,2,5000,5
2899,47,1,1,5000,5
2928,36,3,2,5016,6
2943,30,4,2,5025,5
3007,29,2,2,5028,5
3053,58,5,2,5045,5
3062,45,5,2,5185,5
3091,52,4,2,5200,5
3135,31,3,2,5200,5
3139,56,1,2,5250,5
3148,33,4,2,5250,5
3183,28,3,2,5300,5
3184,35,2,2,5304,5
3186,39,3,2,5322,6
3227,53,4,2,5348,5
3254,32,5,2,5459,7
3270,60,1,2,5464,5
3296,60,2,2,5475,5
3320,46,5,2,5500,7
3323,26,4,1,5500,5
3365,29,1,1,5500,5
3370,41,4,1,5500,5
3404,32,4,2,5554,5
3410,43,6,1,5564,5
3435,38,4,2,5606,5
3449,38,2,2,5675,5
3458,41,4,2,5700,5
3463,30,3,2,5720,5
3475,37,4,2,5720,5
3482,49,3,2,5720,5
3512,28,1,2,5832,5
3537,27,5,1,5880,5
3539,31,5,1,5880,5
3541,45,4,2,5905,5
3545,40,2,1,6000,5
3567,37,2,2,6000,5
3583,39,4,2,6000,5
3602,30,4,2,6000,5
3642,29,2,1,6000,6
3649,32,3,2,6000,6
3667,34,4,2,6000,7
3673,34,1,1,6000,5
3691,40,2,2,6000,7
3693,54,1,1,6000,5
3742,35,4,2,6000,5
3746,33,3,2,6001,5
3750,56,3,2,6024,6
3778,33,3,2,6029,5
3781,38,5,2,6050,7
3804,26,4,2,6100,5
3836,28,4,2,6126,5
3840,49,3,1,6150,5
3850,28,4,1,6214,5
3880,57,6,2,6300,5
3990,26,3,1,6300,5
4005,27,3,1,6342,5
4010,57,1,1,6400,5
4021,42,5,2,6488,5
4026,45,2,1,6500,5
4033,55,1,2,6500,6
4058,42,3,2,6500,5
4063,31,3,2,6500,7
4147,40,5,2,6501,5
4156,63,3,2,6510,5
4166,30,2,2,6576,5
4168,35,3,2,6576,6
4176,61,3,2,6639,5
4188,41,3,2,6810,6
4194,35,3,2,6835,5
4220,36,4,1,6861,7
4230,29,3,1,6862,6
4236,46,6,2,6894,5
4280,33,4,1,6896,5
4281,47,3,2,6940,5
4315,37,1,1,7000,5
4316,43,5,2,7000,6
4333,26,4,2,7000,5
4336,25,3,1,7000,5
4348,55,1,2,7000,5
4353,53,2,1,7000,5
4357,45,4,2,7025,5
4371,55,3,2,7050,5
4389,34,3,2,7056,5
4397,45,3,2,7068,7
4406,56,3,2,7075,6
4408,61,6,2,7131,7
4413,53,4,2,7150,7
4454,26,2,1,7200,7
4466,30,3,2,7200,7
4475,32,3,1,7200,5
4494,26,1,2,7200,5
4495,62,5,1,7204,5
4511,47,5,2,7240,7
4515,49,3,2,7304,6
4528,58,4,1,7314,7
4533,36,5,2,7342,5
4547,47,3,1,7401,6
4565,65,1,2,7500,5
4587,49,4,1,7500,5
4589,28,3,1,7501,5
4617,36,4,2,7512,6
4632,43,5,2,7747,5
4654,43,3,2,7798,5
4743,50,2,1,7800,5
4753,34,3,2,7800,5
4781,48,2,2,7800,5
4817,38,3,2,7800,5
4820,43,4,2,7800,5
4827,46,3,1,7828,7
4832,49,4,2,7850,7
4867,26,3,1,8000,5
4896,51,4,1,8000,5
4904,53,3,1,8000,7
4926,50,4,1,8000,6
4936,32,4,2,8000,5
4938,27,2,1,8000,5
4956,60,4,1,8000,5
4973,53,1,2,8000,5
4979,26,3,1,8000,6
5001,35,3,2,8000,5
5020,43,4,1,8000,5
5029,48,1,1,8000,5
5109,50,1,2,8000,6
5146,40,4,1,8000,5
5150,27,3,2,8000,5
5190,48,3,2,8000,6
5197,33,5,2,8000,5
5225,25,3,2,8000,5
5249,41,3,2,8001,7
5262,41,5,2,8003,5
5274,30,3,2,8005,5
5346,42,3,2,8008,6
5364,58,6,2,8009,6
5376,51,3,2,8014,5
5377,34,3,2,8016,5
5380,50,3,2,8025,5
5393,31,3,2,8045,7
5395,40,3,1,8060,5
5410,26,4,2,8100,5
5467,56,4,2,8117,7
5474,44,4,2,8123,5
5508,47,3,2,8161,6
5510,45,4,2,8200,5
5516,29,3,2,8214,5
5549,57,3,2,8240,7
5555,29,6,2,8250,5
5580,42,4,1,8320,5
5616,29,4,2,8350,7
5623,40,1,1,8368,7
5631,37,3,2,8373,5
5636,59,4,2,8375,5
5660,44,6,1,8386,5
5674,26,1,1,8400,5
5682,30,1,1,8409,5
5700,39,4,2,8450,5
5729,41,3,2,8468,5
5732,27,3,1,8498,5
5738,42,4,2,8500,5
5742,26,4,2,8600,5
5757,27,4,2,8603,6
5762,50,4,2,8617,7
5766,29,3,2,8650,5
5785,30,4,2,8676,5
5814,41,3,2,8685,5
5828,40,4,2,8700,5
5832,39,2,2,8840,5
5840,40,3,2,8858,5
5861,58,3,2,8921,5
5867,40,2,2,8932,5
5921,42,5,2,8970,5
5933,49,3,2,8988,5
5952,42,3,1,9000,5
5976,52,4,2,9000,7
5979,42,5,2,9000,5
5990,59,3,1,9000,5
5991,51,3,2,9000,5
6009,44,3,2,9000,5
6021,36,2,2,9000,6
6075,57,4,2,9000,6
6078,46,3,1,9000,5
6085,41,3,2,9001,7
6103,51,3,2,9005,5
6116,44,1,1,9024,5
6155,30,6,1,9050,5
6189,29,1,1,9060,5
6214,46,2,2,9060,5
6245,60,3,1,9075,7
6253,51,5,2,9090,6
6284,53,1,1,9151,5
6322,39,3,2,9200,6
6334,55,3,2,9200,5
6340,32,5,2,9200,5
6345,45,4,2,9250,5
6379,39,3,1,9346,5
6404,42,4,1,9473,7
6430,52,2,1,9479,5
6441,36,2,2,9500,5
6454,50,2,2,9500,5
6467,29,1,1,9500,5
6472,37,3,2,9501,5
6488,31,5,2,9520,6
6507,39,3,2,9600,5
6509,39,5,2,9610,5
6510,48,5,2,9640,5
6513,49,3,2,9750,5
6518,27,3,1,9800,5
6532,55,5,2,9800,5
6556,61,4,2,9925,5
6567,57,6,2,9967,5
6573,30,3,1,10000,7
6600,61,2,2,10000,5
6608,37,4,2,10000,7
6611,47,5,2,10000,7
6615,29,1,1,10000,5
6650,56,2,2,10000,5
6657,44,4,2,10000,5
6658,40,4,1,10000,7
6682,45,4,2,10000,6
6691,46,1,1,10000,5
6724,46,3,2,10000,7
6772,39,5,2,10000,7
6777,36,3,2,10000,5
6781,57,3,2,10000,6
6813,38,1,1,10000,6
6857,50,2,1,10000,5
6861,53,3,2,10000,5
6916,29,3,1,10000,5
6925,28,3,2,10002,5
6931,42,4,2,10010,5
6998,36,5,2,10010,5
7017,39,3,2,10030,5
7025,44,3,2,10050,6
7031,27,2,2,10100,5
7061,25,5,2,10109,5
7066,47,5,2,10137,7
7085,34,2,2,10280,5
7123,45,4,2,10300,5
7144,28,1,1,10400,5
7153,25,3,1,10400,6
7161,48,2,2,10400,5
7162,42,1,1,10400,5
7176,35,3,2,10400,5
7210,47,4,1,10400,5
7227,41,1,2,10400,5
7247,54,3,2,10456,5
7253,51,3,2,10500,5
7267,25,5,2,10520,5
7275,27,4,2,10540,5
7304,40,4,2,10546,5
7341,49,4,1,10570,5
7354,52,3,2,10580,7
7356,38,3,2,10638,5
